Movie_Name,Country,Rating,Gross,year
Paycheck,"['USA', 'Canada']",6.3,$53.79M,2003
Identity,['USA'],7.3,$51.48M,2003
The Dreamers,"['UK', 'France', 'Italy']",7.2,$2.53M,2003
Thirteen,['USA'],6.8,$4.60M,2003
How to Lose a Guy in 10 Days,"['USA', 'Germany']",6.4,$105.81M,2003
Lost in Translation,"['USA', 'Japan']",7.8,$44.57M,2003
The Last Samurai,"['USA', 'New Zealand', 'Japan']",7.7,$111.11M,2003
X2,"['Canada', 'USA']",7.5,$214.95M,2003
The Room,['USA'],3.5,,2003
Daredevil,['USA'],5.3,$0.43M,2003
The Italian Job,"['USA', 'France', 'UK']",7.0,$106.13M,2003
The Matrix Reloaded,"['USA', 'Australia']",7.2,$281.49M,2003
Cold Mountain,"['UK', 'Italy', 'Romania', 'USA']",7.2,$95.63M,2003
Terminator 3: Rise of the Machines,"['USA', 'Germany', 'UK']",6.4,$150.35M,2003
Under the Tuscan Sun,"['USA', 'Italy']",6.7,$43.60M,2003
Peter Pan,"['UK', 'Australia', 'USA']",6.9,$48.42M,2003
Hulk,['USA'],5.7,$132.12M,2003
The Matrix Revolutions,"['Australia', 'USA']",6.7,$139.26M,2003
Open Range,['USA'],7.5,$58.33M,2003
Mona Lisa Smile,['USA'],6.4,$63.70M,2003
The League of Extraordinary Gentlemen,"['USA', 'Germany', 'Czech Republic', 'UK']",5.8,$66.46M,2003
2 Fast 2 Furious,"['USA', 'Germany']",5.9,$127.08M,2003
Wrong Turn,"['USA', 'Germany']",6.1,$15.42M,2003
Holes,['USA'],7.1,$67.33M,2003
Dreamcatcher,['USA'],5.5,$33.69M,2003
The Texas Chainsaw Massacre,['USA'],6.2,$80.15M,2003
Once Upon a Time in Mexico,['USA'],6.4,$55.85M,2003
The Cat in the Hat,['USA'],3.8,$100.45M,2003
Dogville,"['Netherlands', 'Denmark', 'UK', 'France', 'Finland', 'Sweden', 'Germany', 'Italy', 'Norway']",8.1,$1.53M,2003
Elf,"['USA', 'Germany']",6.9,$173.38M,2003
House of 1000 Corpses,['USA'],6.0,$12.58M,2003
Master and Commander: The Far Side of the World,['USA'],7.4,$93.93M,2003
Daddy Day Care,['USA'],5.5,$104.15M,2003
Bad Boys II,['USA'],6.6,$138.40M,2003
21 Grams,['USA'],7.7,$16.25M,2003
Charlie's Angels: Full Throttle,['USA'],4.8,$100.69M,2003
Something's Gotta Give,['USA'],6.7,$124.59M,2003
Final Destination 2,"['USA', 'Canada']",6.2,$46.46M,2003
Cheaper by the Dozen,['USA'],5.8,$138.61M,2003
Freddy vs. Jason,"['USA', 'Canada', 'Italy']",5.8,$82.16M,2003
Bruce Almighty,['USA'],6.7,$242.59M,2003
Anger Management,['USA'],6.2,$133.76M,2003
S.W.A.T.,['USA'],6.0,$116.64M,2003
Tears of the Sun,['USA'],6.6,$43.43M,2003
The Brown Bunny,"['USA', 'Japan']",5.0,$0.37M,2003
Freaky Friday,['USA'],6.1,$110.22M,2003
Matchstick Men,['USA'],7.3,$36.87M,2003
Memories of Murder,['South Korea'],8.1,$0.01M,2003
American Wedding,"['USA', 'Germany']",6.3,$104.35M,2003
View from the Top,['USA'],5.2,$15.59M,2003
Scary Movie 3,"['USA', 'Canada']",5.5,$110.00M,2003
Secondhand Lions,['USA'],7.6,$41.41M,2003
Spy Kids 3-D: Game Over,['USA'],4.2,$111.76M,2003
The Station Agent,['USA'],7.7,$5.74M,2003
Girl with a Pearl Earring,"['UK', 'Luxembourg']",7.0,$11.63M,2003
Open Water,['USA'],5.7,$30.50M,2003
Jeepers Creepers II,['USA'],5.6,$35.14M,2003
Looney Tunes: Back in Action,"['Germany', 'USA']",5.7,$20.95M,2003
Swimming Pool,"['France', 'UK']",6.8,$10.11M,2003
High Tension,"['France', 'Italy', 'Romania']",6.8,$3.65M,2003
Darkness Falls,"['USA', 'Australia']",4.9,$32.13M,2003
The Recruit,['USA'],6.6,$52.78M,2003
The Life of David Gale,"['USA', 'Germany', 'UK']",7.6,$19.59M,2003
Bad Santa,"['USA', 'Germany']",7.1,$60.06M,2003
Just Married,"['USA', 'Germany']",5.4,$56.13M,2003
A Man Apart,"['USA', 'Germany']",6.1,$26.18M,2003
Brother Bear,['USA'],6.8,$85.33M,2003
Sinbad: Legend of the Seven Seas,['USA'],6.7,$26.29M,2003
Elephant,['USA'],7.2,$1.23M,2003
The Missing,['USA'],6.5,$26.90M,2003
The Rundown,['USA'],6.7,$47.59M,2003
The Lizzie McGuire Movie,['USA'],5.4,$42.67M,2003
Lara Croft Tomb Raider: The Cradle of Life,"['USA', 'Germany', 'Japan', 'UK']",5.5,$65.65M,2003
Kangaroo Jack,"['USA', 'Australia']",4.4,$66.73M,2003
Ong-Bak: The Thai Warrior,['Thailand'],7.2,$4.56M,2003
Timeline,['USA'],5.6,$19.48M,2003
Gigli,['USA'],2.4,$5.66M,2003
Honey,['USA'],5.3,$30.22M,2003
Intolerable Cruelty,['USA'],6.3,$35.10M,2003
The Core,"['USA', 'Germany', 'Canada', 'UK']",5.4,$31.11M,2003
Coffee and Cigarettes,"['USA', 'Japan', 'Italy']",7.1,$1.97M,2003
Basic,"['Germany', 'USA']",6.5,$26.54M,2003
A Tale of Two Sisters,['South Korea'],7.3,,2003
Shanghai Knights,"['USA', 'Hong Kong']",6.2,$60.47M,2003
Johnny English,"['UK', 'France', 'USA']",6.1,$27.97M,2003
Camp,['USA'],6.3,$1.63M,2003
What a Girl Wants,['USA'],5.8,$35.99M,2003
Runaway Jury,['USA'],7.1,$49.44M,2003
A Series of Unfortunate Events,"['USA', 'Germany']",6.8,$118.63M,2004
The Incredibles,['USA'],8.0,$261.44M,2004
Resident Evil: Apocalypse,"['Germany', 'France', 'UK', 'Canada', 'USA']",6.2,$50.74M,2004
The Notebook,['USA'],7.9,$0.06M,2004
The Village,['USA'],6.5,$114.20M,2004
Troy,"['USA', 'Malta', 'UK']",7.2,$133.23M,2004
The Day After Tomorrow,['USA'],6.4,$186.74M,2004
Eternal Sunshine of the Spotless Mind,['USA'],8.3,$34.13M,2004
Mean Girls,"['USA', 'Canada']",7.0,$86.05M,2004
Harry Potter and the Prisoner of Azkaban,"['UK', 'USA']",7.8,$249.36M,2004
Hellboy,['USA'],6.8,$59.04M,2004
Napoleon Dynamite,['USA'],6.9,$44.54M,2004
The Girl Next Door,['USA'],6.8,$14.59M,2004
Kill Bill: Vol. 2,['USA'],8.0,$66.21M,2004
The Machinist,['Spain'],7.7,$1.08M,2004
Crash,"['Germany', 'USA']",7.8,$54.56M,2004
The Phantom of the Opera,"['UK', 'USA']",7.3,$51.23M,2004
King Arthur,"['USA', 'UK', 'Ireland']",6.3,$51.88M,2004
Ocean's Twelve,['USA'],6.5,$125.53M,2004
The Passion of the Christ,['USA'],7.1,$370.78M,2004
White Chicks,['USA'],5.5,$69.15M,2004
The Chronicles of Riddick,['USA'],6.7,$57.64M,2004
Dodgeball: A True Underdog Story,"['USA', 'Germany']",6.7,$114.32M,2004
Downfall,"['Germany', 'Austria', 'Italy']",8.3,$5.50M,2004
The Aviator,"['Germany', 'USA']",7.5,$102.61M,2004
Saw,['USA'],7.7,$55.15M,2004
The Punisher,"['USA', 'Germany']",6.5,$33.68M,2004
Spider-Man 2,['USA'],7.3,$373.38M,2004
The Butterfly Effect,"['USA', 'Canada']",7.7,$0.02M,2004
EuroTrip,"['USA', 'Czech Republic']",6.6,$17.72M,2004
Million Dollar Baby,['USA'],8.1,$100.42M,2004
Closer,"['USA', 'UK']",7.3,$33.99M,2004
Van Helsing,"['USA', 'Czech Republic']",6.0,$120.03M,2004
Man on Fire,"['USA', 'UK']",7.7,$77.86M,2004
Howl's Moving Castle,['Japan'],8.2,$4.71M,2004
Shaun of the Dead,"['UK', 'France']",8.0,$13.46M,2004
50 First Dates,['USA'],6.8,$120.78M,2004
Shrek 2,['USA'],7.2,$436.47M,2004
"I, Robot","['USA', 'Germany']",7.1,$144.80M,2004
AVP: Alien vs. Predator,"['USA', 'UK', 'Czech Republic', 'Canada', 'Germany']",5.6,$80.28M,2004
Collateral,['USA'],7.6,$100.00M,2004
Anchorman: The Legend of Ron Burgundy,['USA'],7.2,$84.14M,2004
National Treasure,['USA'],6.9,$173.01M,2004
Dawn of the Dead,"['USA', 'Canada', 'Japan', 'France']",7.4,$58.89M,2004
Spanglish,['USA'],6.4,$42.04M,2004
Layer Cake,['UK'],7.4,$2.34M,2004
Alexander,"['Germany', 'USA', 'Netherlands', 'France', 'UK', 'Italy']",5.5,$34.29M,2004
Blade: Trinity,['USA'],5.9,$52.40M,2004
The Bourne Supremacy,"['USA', 'Germany']",7.8,$176.05M,2004
9 Songs,['UK'],4.9,$0.05M,2004
The Terminal,['USA'],7.3,$77.03M,2004
Primer,['USA'],7.0,$0.42M,2004
The Life Aquatic with Steve Zissou,['USA'],7.3,$24.01M,2004
Finding Neverland,"['USA', 'UK']",7.7,$51.68M,2004
Dead Man's Shoes,['UK'],7.7,$0.01M,2004
